Year,Annual_%_Change_nasdaq,Annual_%_Change_dowj,Annual_%_Change_sp500,Annual_%_Change_corn,Annual_%_Change_cotton,Annual_%_Change_pound,Annual_%_Change_yen,Annual_Unemployment_Rate,Annual_%_Change_silver,Annual_%_Change_sugar,Annual_%_Change_FFRate,Annual_%_Change_tenyrRate,Annual_%_Change_oneyrRate,Annual_%_Change_gold,Annual_%_Change_crude,Annual_%_Change_copper,Annual_%_Change_coffee,Unemployment_Rate_Increased,Unemployment_Rate_Percent_Change,Unemployment_Rate_Change_Indicator
2024.0,9.05,5.55,9.89,-6.53,13.58,-0.51,6.85,3.8,-0.09268843230155908,-0.048746043976269485,-0.22329806283744955,0.26218244377701005,-0.14591733607579688,-0.1447427811155534,0.056138318942306246,-0.13427428834319452,-0.34573146947089783,1,4.827586206896539,0
2023.0,43.42,13.7,24.23,-30.62,-2.41,5.22,7.56,3.625,-0.22954275870248414,-0.14829323538748823,-0.07069390215857199,-0.08279417642465307,-0.19984670110308717,0.1882863967749725,-0.5827779548148739,-0.16692718349809052,0.2088690200382427,0,-0.2293577981651196,0
2022.0,-33.1,-8.78,-19.44,14.37,-26.29,-10.52,13.91,3.633333333333333,-0.12407703927424832,-0.05958562704104664,6.29796057262495,3.48888725715071,3.0267470020283955,-0.3406656745523425,-0.12834444476013318,-0.6461304826631858,-0.8385494163689204,0,-31.981279251170047,1
2021.0,21.39,18.73,26.89,22.57,44.14,-1.23,11.49,5.341666666666666,-0.5694813722167086,0.287502247012736,-0.3701523049459233,2.0948492848284324,3.0267470020283955,-0.4710159971634314,1.0529363759566888,0.5667333616938969,1.6240979241302713,0,-33.98558187435634,1
2020.0,43.64,7.25,16.26,24.82,13.14,3.21,-5.0,8.091666666666667,1.2821325531022292,0.14437550736149485,-0.8458093618562229,-1.852644379170698,-1.7426813668536996,0.6393462021517587,-0.8079011137254608,0.5364338283519665,-0.23707112215484605,1,120.18140589569164,1
2019.0,35.23,22.34,28.88,3.4,-4.36,4.04,-0.89,3.675,0.2751860414183587,0.058764922747846754,-0.45739244877273944,-1.0652052082825234,-0.8627555525379418,0.41679687086453376,0.5467787265461239,-0.03690394333174791,0.4471044275387014,0,-5.567451820128477,0
2018.0,-3.88,-5.63,-6.24,6.91,-8.18,-5.67,-2.69,3.891666666666666,-0.5019958672254267,-0.6535505357946517,0.3084041773797744,0.32328278048934433,0.6222512398701546,-0.3772273504066723,-0.9138124466921485,-0.8167492141031828,-0.6738761024054348,0,-10.70745697896751,1
2017.0,28.24,25.08,19.42,-0.36,11.3,9.51,-3.65,4.358333333333333,0.016543919963399434,-0.6900511726454319,0.7140047551564186,-0.13737256708342366,1.625142503961993,0.16801851124702882,0.00515309586299391,0.7085234109250669,-0.4005424411258975,0,-10.598290598290594,1
2016.0,7.5,13.42,9.54,-1.88,11.65,-16.05,-2.75,4.875,0.29088034490470327,0.42310764331290734,0.93329475304837,0.18082974826676707,0.18090761101729982,0.011439160305659855,0.8071235613037722,0.28874249753734993,-0.013740452560571421,0,-7.582938388625604,0
2015.0,5.73,-2.23,-0.73,-9.63,4.99,-5.77,0.35,5.275,-0.6335141304409946,-0.08701640867436025,1.3188036613376264,0.07544883045392076,2.37852923587938,-0.7921228894492846,-1.0524824012508578,-0.9453016031364221,-0.7859020357003025,0,-14.343707713125852,1
2014.0,13.4,7.52,11.39,-5.92,-28.79,-6.02,13.87,6.158333333333334,-0.775076747887823,-0.4515803452203346,-0.31774212763178306,-1.0652052082825234,1.278987453139235,-0.3390760364717194,-1.4317927565269015,-0.7211438904514603,1.0038685080342236,0,-16.30804077010192,1
2013.0,38.32,26.5,29.6,-39.56,12.64,1.84,21.48,7.358333333333333,-1.3020914589592751,-0.5482517288796738,-0.3701523049459233,2.347145619005768,-0.5250472697315064,-1.4359263121016137,-0.12489616880307823,-0.41961940816525856,-0.7635449288410263,0,-8.875128998968018,0
2012.0,15.91,7.26,13.41,8.0,-18.15,5.16,12.55,8.075000000000001,-0.009822509893659515,-0.5566579361543988,0.6028396627952787,-0.2825716818548699,0.3209290346724933,-0.10579664814028904,-0.4766203164226825,-0.03837479446485133,-1.0902471677846421,0,-9.608208955223873,0
2011.0,-1.8,5.53,0.0,2.78,-36.61,0.65,-5.74,8.933333333333334,-0.45805181746366175,-0.8041986187969629,-0.6808461808018798,-1.5495455178392863,-1.1726869635983934,0.131456835392699,-0.10125084795470149,-0.8911742814382161,-0.34669306546484524,0,-7.0251517779705175,0
2010.0,16.91,11.02,12.78,51.75,91.55,-4.94,-12.26,9.608333333333334,2.312934406085344,0.22755271618509093,0.8341582259724426,-0.573313171716371,-0.8426132595759417,0.7708887533233149,0.07116294989804567,0.7479422212922388,1.638521864039482,1,3.500897666068248,0
